y	x	x1	x2	tt	Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Confidence
9990.79389984462	116	114	119	28.75	1	Spectrogram	1	30.25	27.25	0	8000	9990.79389984462
9990.79389984462	696	694	699	173.75	2	Spectrogram	1	175.25	172.25	0	8000	9990.79389984462
9981.59627491724	579	575	582	144.5	3	Spectrogram	1	146	143	0	8000	9981.59627491724
9972.4071174155	263	262	267	65.5	4	Spectrogram	1	67	64	0	8000	9972.4071174155
9972.4071174155	3120	3119	3125	779.75	5	Spectrogram	1	781.25	778.25	0	8000	9972.4071174155
9963.22641954418	102	100	104	25.25	6	Spectrogram	1	26.75	23.75	0	8000	9963.22641954418
9963.22641954418	129	127	131	32	7	Spectrogram	1	33.5	30.5	0	8000	9963.22641954418
9963.22641954418	6115	6111	6116	1528.5	8	Spectrogram	1	1530	1527	0	8000	9963.22641954418
9944.89037154792	3046	3045	3048	761.25	9	Spectrogram	1	762.75	759.75	0	8000	9944.89037154792
9935.73500586844	176	174	178	43.75	10	Spectrogram	1	45.25	42.25	0	8000	9935.73500586844
9935.73500586844	410	409	412	102.25	11	Spectrogram	1	103.75	100.75	0	8000	9935.73500586844
9935.73500586844	2698	2697	2701	674.25	12	Spectrogram	1	675.75	672.75	0	8000	9935.73500586844
9926.58806871031	3816	3814	3817	953.75	13	Spectrogram	1	955.25	952.25	0	8000	9926.58806871031
9926.58806871031	7733	7732	7735	1933	14	Spectrogram	1	1934.5	1931.5	0	8000	9926.58806871031
9926.58806871031	8041	8039	8042	2010	15	Spectrogram	1	2011.5	2008.5	0	8000	9926.58806871031
9908.31944892768	7569	7567	7570	1892	16	Spectrogram	1	1893.5	1890.5	0	8000	9908.31944892768
9908.31944892768	9571	9569	9572	2392.5	17	Spectrogram	1	2394	2391	0	8000	9908.31944892768
9899.19775080584	3108	3107	3112	776.75	18	Spectrogram	1	778.25	775.25	0	8000	9899.19775080584
9890.08445021066	3141	3140	3145	785	19	Spectrogram	1	786.5	783.5	0	8000	9890.08445021066
9880.97953941128	2760	2758	2762	689.75	20	Spectrogram	1	691.25	688.25	0	8000	9880.97953941128
9871.88301068397	7164	7158	7165	1790.75	21	Spectrogram	1	1792.25	1789.25	0	8000	9871.88301068397
9862.79485631211	9385	9384	9388	2346	22	Spectrogram	1	2347.5	2344.5	0	8000	9862.79485631211
9844.64363980378	3091	3090	3094	772.5	23	Spectrogram	1	774	771	0	8000	9844.64363980378
9817.47943019984	333	332	335	83	24	Spectrogram	1	84.5	81.5	0	8000	9817.47943019984
9808.44136030906	6369	6368	6370	1592	25	Spectrogram	1	1593.5	1590.5	0	8000	9808.44136030906
9808.44136030906	9491	9490	9493	2372.5	26	Spectrogram	1	2374	2371	0	8000	9808.44136030906
9781.37704322986	9239	9236	9240	2309.5	27	Spectrogram	1	2311	2308	0	8000	9781.37704322986
9763.37566582642	5074	5072	5075	1268.25	28	Spectrogram	1	1269.75	1266.75	0	8000	9763.37566582642
